"dep","X22.3.2020","X23.3.2020","X24.3.2020","X25.3.2020","X26.3.2020","X27.3.2020","X28.3.2020","X29.3.2020","X30.3.2020","X31.3.2020","X1.4.2020","X2.4.2020","X3.4.2020","X4.4.2020","X5.4.2020","X6.4.2020","X7.4.2020","X8.4.2020","X9.4.2020","X10.4.2020","X11.4.2020","X12.4.2020","X13.4.2020","X14.4.2020","X15.4.2020","X16.4.2020","X17.4.2020","X18.4.2020","X19.4.2020","X20.4.2020","X21.4.2020","X22.4.2020","X23.4.2020","X24.4.2020","X25.4.2020","X26.4.2020","X27.4.2020","X28.4.2020","X29.4.2020","X30.4.2020","X1.5.2020","X2.5.2020","X3.5.2020","X4.5.2020","X5.5.2020","X6.5.2020","X7.5.2020","X8.5.2020","X9.5.2020","X10.5.2020","X11.5.2020","X12.5.2020","X13.5.2020","X14.5.2020","X15.5.2020","X16.5.2020","X17.5.2020","X18.5.2020","X19.5.2020","X20.5.2020","X21.5.2020","X22.5.2020","X23.5.2020","X24.5.2020","X25.5.2020","X26.5.2020","X27.5.2020","X28.5.2020","X29.5.2020","X30.5.2020","X31.5.2020","X1.6.2020","X2.6.2020","X3.6.2020","X4.6.2020","X5.6.2020","X6.6.2020","X7.6.2020","X8.6.2020","X9.6.2020","X10.6.2020","X11.6.2020","X12.6.2020","X13.6.2020","X14.6.2020","X15.6.2020","X16.6.2020","X17.6.2020","X18.6.2020","X19.6.2020","X20.6.2020","X21.6.2020","X22.6.2020","X23.6.2020","X24.6.2020","X25.6.2020","X26.6.2020","X27.6.2020","X28.6.2020","X29.6.2020","X30.6.2020","X1.7.2020","X2.7.2020","X3.7.2020","X4.7.2020","X5.7.2020","X6.7.2020","X7.7.2020","X8.7.2020","X9.7.2020","X10.7.2020","X11.7.2020","X12.7.2020","X13.7.2020","X14.7.2020","X15.7.2020","X16.7.2020","X17.7.2020","X18.7.2020","X19.7.2020","X20.7.2020","X21.7.2020","X22.7.2020","X23.7.2020","X24.7.2020","X25.7.2020","X26.7.2020","X27.7.2020","X28.7.2020","X29.7.2020"
"Boaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,6,6,6,6,6,6,9,10,18,18,21,21,21,23,24,25,26,27,33,33,33,34,35,36,36,36,36,36,36,37,37,38,40,40,41,41,41,41,43,43,43,43,44,45,45,45,45,47,48,48,48,48,48,48,48,48,48,49,49,49,49,49
"Carazo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,7,7,7,7,8,8,8,10,11,15,20,22,25,25,26,26,28,29,29,32,34,35,36,38,40,41,41,43,46,46,47,48,48,48,48,48,48,48,48,51,52,52,52,53,55,55,55,56,56,56,56,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,59,60,60,60,60,60,60,60,61
"Chinandega",0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,6,9,12,14,16,17,18,20,22,25,30,36,39,40,41,48,51,53,56,57,62,62,63,65,68,68,70,72,75,76,76,78,85,87,88,89,90,93,93,96,98,98,98,98,98,100,106,108,109,110,110,110,110,110,111,114,114,114,115,115,115,115,115,115,115,115,122,124,124,124,126,126,126,126,126,126,126,127,127,129,130,130,131,131,131,131,131,131,131,131
"Chontales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,5,6,7,7,7,7,7,9,9,11,12,13,14,16,17,17,17,18,19,21,22,25,25,26,30,35,36,38,39,39,39,40,41,43,44,46,48,51,51,51,53,54,54,55,55,69,70,71,71,72,73,74,75,77,77,77,87,87,87,87,87,87,89,90,90
"Estelí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,6,6,7,8,8,8,8,9,10,13,15,20,23,23,27,28,30,31,32,37,39,43,48,53,58,61,63,67,71,75,76,77,77,77,78,79,80,81,88,91,91,91,92,100,107,108,114,114,114,115,115,116,117,118,119,122,122,122,124,124,124,124,125,125,125,125
"Granada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,6,6,7,8,10,11,13,14,14,16,16,19,21,24,25,51,54,55,55,56,59,59,59,63,63,65,68,68,69,69,69,70,70,71,72,75,77,77,78,78,78,78,79,79,79,79,79,79,80,80,80,80,82,85,85,88,89,90,90,91,91,92,92,92,92,95,95,96,96,96,97,97,97,98,98,100,100,100,101
"Jinotega",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,16,16,17,18,21,21,21,22,22,22,24,24,26,26,26,30,30,33,33,33,33,33,37,38,38,39,39,41,42,42,44,46,46,46,46,47,47,51,52,53,53,53,53,53,53,54,55,58,58,58,59,59,59,59,59,59,60,60,60,60
"León",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,6,6,7,8,8,9,12,17,18,20,27,30,34,38,38,46,54,62,66,68,76,78,80,87,96,98,101,105,111,113,116,117,119,122,125,126,132,133,134,135,137,138,138,139,140,141,146,150,154,155,156,157,159,161,162,162,164,173,176,177,177,177,178,178,178,179,181,184,184,184,184,186,186,186,186,186,188,188,188,188
"Madriz",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,9,11,11,11,11,11,11,11,13,14,15,15,15,16,16,18,19,21,22,22,22,22,24,24,24,24,25,26,26,28,32,32,33,34,34,38,39,41,41,41,41,41,41,42,42,42,42,42,43
"Managua",0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,6,6,6,6,6,6,6,7,8,11,14,15,19,22,22,24,27,32,32,33,34,49,72,109,117,134,139,154,162,171,188,203,215,239,246,261,306,317,333,366,385,412,424,435,453,466,491,503,519,536,555,560,587,606,611,616,627,632,636,648,661,675,684,699,713,725,740,757,762,770,776,794,802,808,816,824,827,829,829,830,831,848,856,859,862,863,866,867,867,868,869,871,871,873,873,875,876,876,880,881,881,882,883,883,883
